"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication_Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,"Reference Count","License","Online Date",Issue Date,"Meeting Date","Publisher",Document Identifier
"Exploring differences in how learners navigate in MOOCs based on self-regulated learning and learning styles: A process mining approach","J. J. Maldonado; R. Palta; J. Vázquez; J. L. Bermeo; M. Pérez-Sanagustín; J. Munoz-Gama","Departamento de Ciencias de la Computación, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento de Ciencias la Computación, Universidad de Cuenca, Cuenca, Ecuador; Departamento de Ciencias la Computación, Universidad de Cuenca, Cuenca, Ecuador; Departamento de Ciencias la Computación, Universidad de Cuenca, Cuenca, Ecuador; Departamento de Ciencias de la Computación, Pontificia Universidad Católica de Chile, Santiago, Chile; Departamento de Ciencias de la Computación, Pontificia Universidad Católica de Chile, Santiago, Chile","2016 XLII Latin American Computing Conference (CLEI)","","2016","","","1","12","Study in a Massive Open and Online Courses (MOOCs) is challenging, since participants take the course without the support of a teacher. Taking a MOOC require the students to have the ability to self-regulate their learning. However, every person has its own learning style and the way each one interacts and self-regulate in a MOOC varies. In this work we present an exploratory study from a process-oriented perspective to study whether students with different learning styles and SRL profiles show differences in navigating through a MOOC. Specifically, we investigate using Process Mining Techniques to analyze log files recording the course behavior of 99 learners across an Open edX MOOC combined with data from self-reported surveys. Our findings show that learners with different SRL profiles follow similar navigation paths, but there are differences when differentiating students by their learning styles.","","978-1-5090-1633-4978-1-5090-1634","10.1109/CLEI.2016.7833356","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7833356","MOOCs;self regulation;learning styles;process mining","Silicon compounds;Instruments;Navigation;Videos;Data mining;Internet;Computational modeling","courseware","self-regulated learning;learning styles;Massive Open and Online Courses;SRL profiles;process mining techniques;log files;course behavior;Open edX MOOC","","1","","","","","","IEEE","IEEE Conferences"
"Recognising diverse learning styles in teaching and assessment of electronic engineering","M. Ayre; A. Nafalski","Univ. of South Australia, Mawson Lakes, SA, Australia; NA","30th Annual Frontiers in Education Conference. Building on A Century of Progress in Engineering Education. Conference Proceedings (IEEE Cat. No.00CH37135)","","2000","1","","T2B/18","T2B/23 vol.1","University of South Australia initiatives to make the electronic engineering curriculum more inclusive have been supported and informed by corporate policies. These policies require all curricula to be inclusive, and also to develop specified graduate attributes. After an overview of the literature about learning styles, this paper describes how the corporate advice is implemented in the electronic engineering curriculum. The authors have identified two different interpretations of the term 'learning styles'. The first interpretation sees personality and life experience as the key influences on learning styles, while the second defines learning styles as the practices students develop in response to the expectations of their teachers. The literature relating to each interpretation is considered, with particular reference to certain social and cultural groups which are under-represented in electronic engineering in the authors' university. Finally, the authors demonstrate the integration of these concepts and approaches into the learning and assessment strategies of an electronics course.","0190-5848","0-7803-6424","10.1109/FIE.2000.897597","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=897597","","Education;Cultural differences;Guidelines;Curriculum development;Australia;Information technology;Telecommunication computing;Systems engineering and theory;Writing","electronic engineering education;educational courses;teaching;socio-economic effects","learning styles;teaching;student assessment;electronic engineering curriculum;South Australia University;inclusive curriculum;corporate policies;graduate attributes;personality;life experience;teacher expectations;social groups;cultural groups;electronics course;diversity","","","29","","","","","IEEE","IEEE Conferences"
"The Influence of Multimedia Teaching Materials for Junior High Schools Students with Different Learning Styles - An Example of Taekwondo Aerobic Instruction","F. Weng; H. Ho; R. Yang; C. Wang","WuFeng University, 117, Sec 2, Chiankuo Rd. Minhsiung, Chiayi county 62153, Taiwan; WuFeng University, 117, Sec 2, Chiankuo Rd. Minhsiung, Chiayi county, Taiwan, 62153; University of Texas at El Paso, 500 West University Avenue, El Paso, TX, 79968, USA; Peikang Junior High School, 102, Minsheng Rd. Beigang Township, Yunlin County, Taiwan, 65142","2017 International Conference on Information, Communication and Engineering (ICICE)","","2017","","","94","97","The purpose of this study is to investigate the influence of multimedia materials of Taekwondo Aerobic on students' attitude with different learning styles. Not every student handles the material well and their learning styles also influence their learning achievement. We designed and conducted a multimedia material to teach the class. Students are divided into two groups, with one experiment group adopting multimedia-based teaching, and one control group adopting traditional teaching respectively. Results show that adopting multimedia-based teaching style promotes students' learning attitude, and using multimedia-based teaching style has significant effects on students' learning attitude with different learning styles in teaching Taekwondo Aerobic.","","978-1-5386-3202-4978-1-5386-3203","10.1109/ICICE.2017.8479110","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8479110","Multimedia Materials;Taekwondo Aerobic;Learning Attitude;Learning style","Emotion recognition;Attitude control;Conferences;Art;Training;Sociology","computer aided instruction;multimedia computing;teaching","Taekwondo Aerobic instruction;multimedia-based teaching;students learning attitude","","","16","","","","","IEEE","IEEE Conferences"
"A framework for adaptive learning management systems using learning styles","M. P. Pitigala Liyanage; K. S. L. Gunawardena; M. Hirakawa","Interdisciplinary Graduate School of Science and Engineering, Shimane University 1060 Nishikawatsu-cho, Matsue-shi, Shimane, Japan; Interdisciplinary Graduate School of Science and Engineering, Shimane University 1060 Nishikawatsu-cho, Matsue-shi, Shimane, Japan; Interdisciplinary Graduate School of Science and Engineering, Shimane University 1060 Nishikawatsu-cho, Matsue-shi, Shimane, Japan","2013 International Conference on Advances in ICT for Emerging Regions (ICTer)","","2013","","","261","265","Learning management systems (LMSs) are becoming increasingly popular in many educational establishments such as universities. However, they provide the same content for all learners in a given course. Educational theory suggests that learners possess different styles of learning. In this study, we propose a framework for adaptive LMSs that can tailor course content to the learning style of the individual learners. The Felder-Silverman learning styles model was used as the basis for our system implementation. Further, we present initial findings of application of the framework to a course conducted in Moodle LMS.","","978-1-4799-1276-6978-1-4799-1275","10.1109/ICTer.2013.6761188","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6761188","e-learning learning management systems;learning styles;Moodle","Materials;Least squares approximations;Electronic learning;Adaptation models;Adaptive systems;Educational institutions","educational courses;educational institutions;further education;learning management systems","adaptive learning management systems;educational establishments;universities;educational theory;course content;Felder-Silverman learning styles model;Moodle LMS","","5","21","","","","","IEEE","IEEE Conferences"
"A comparative analysis of the automatic modeling of Learning Styles through Machine Learning techniques","L. D. Ferreira; G. Spadon; A. C. Carvalho; J. F. Rodrigues","Universidade de São Paulo (USP); Universidade de São Paulo (USP); Universidade de São Paulo (USP); Universidade de São Paulo (USP)","2018 IEEE Frontiers in Education Conference (FIE)","","2018","","","1","8","This Research Full Paper introduces a machine learning methodology to automatically identify the learning style of students interacting with a Learning Management System. Studies in Cognitive Psychology and Pedagogy have already reported that each individual has a specific Learning Style, which describes her/his best means of perceiving and acquiring knowledge. The detection of the personal Learning Style of each student has long been made by using questionnaires; an analysis that demands too much effort, mainly in courses with hundreds of students. Therefore, the automatic modeling of learning styles has gained attention in the computing and education areas. This study compares different Machine Learning algorithms for the detection of students' Learning Styles. As such, a dataset is extracted from a real course in the Moodle learning platform. This course had 105 students interacting with 252 learning objects during 12 months. The learning styles were described using the classic model of Felder-Silverman. According to the experimental results using these data, a single machine learning algorithm was not able to induce models with predictive accuracy comparable to those from existing alternatives. However, when models from different algorithms were combined, it was possible to obtain a predictive accuracy superior to those reported in the related literature.","2377-634X;1539-4565","978-1-5386-1174-6978-1-5386-1175","10.1109/FIE.2018.8659191","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8659191","","Learning management systems;Machine learning algorithms;Organizations;Adaptation models;Visualization;Machine learning","learning (artificial intelligence);learning management systems;psychology","Moodle learning platform;machine learning techniques;learning management system;personal learning style;cognitive psychology;learning styles automatic modeling","","","19","","","","","IEEE","IEEE Conferences"
"Exploring the validity of learning styles as personalization parameters in eLearning environments: An eyetracking study","A. Al-Wabil; H. ElGibreen; R. P. George; B. Al-Dosary","Department of Information Technology, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Information Technology, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Information Technology, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Information Technology, College of Computer and Information Sciences, King Saud University, Riyadh, Saudi Arabia","2010 2nd International Conference on Computer Technology and Development","","2010","","","174","178","This paper describes how learning styles relate to visual attention in eLearning environments. In this study, eye gaze of participants was recorded as they interacted with an eLearning module and their comprehension was examined as well as their individual learning style. Findings suggest that learners differ in their visual attention distribution according to their learning style. Verbal learners allocate attention to textual content more than multimedia, and visual learners scan the text and direct more attention to multimedia elements than textual content on the screen. Design implications for eLearning environments are discussed.","","978-1-4244-8845-2978-1-4244-8844","10.1109/ICCTD.2010.5646127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5646127","component;eLearning;eyetracking;Learning style;visual attention","Electronic learning;Media;Particle measurements;Atmospheric measurements;Navigation;Visualization","behavioural sciences;computer aided instruction;learning systems","learning style;personalization parameter;e-learning environment;eyetracking study;eye gaze;visual attention distribution;verbal learner;textual content;multimedia element","","6","12","","","","","IEEE","IEEE Conferences"
"A fuzzy model for predicting learning styles using behavioral cues in an conversational intelligent tutoring system","K. Crockett; A. Latham; D. Mclean; J. O'Shea","The Intelligent Systems Group, School of Computing, Mathematics and Digital Technology, The Manchester Metropolitan University, Chester Street, M1 5GD, UK; The Intelligent Systems Group, School of Computing, Mathematics and Digital Technology, The Manchester Metropolitan University, Chester Street, M1 5GD, UK; The Intelligent Systems Group, School of Computing, Mathematics and Digital Technology, The Manchester Metropolitan University, Chester Street, M1 5GD, UK; The Intelligent Systems Group, School of Computing, Mathematics and Digital Technology, The Manchester Metropolitan University, Chester Street, M1 5GD, UK","2013 IEEE International Conference on Fuzzy Systems (FUZZ-IEEE)","","2013","","","1","8","This paper proposes a new model for predicting student learning styles for conversational intelligent tutoring systems (CITS). The learning styles are predicted from behavior cues extracted during conversation obtained during automated CITS tutorials. The heart of the model is a fuzzy rule base determined automatically from existing tutorial data with membership function boundaries optimized by a genetic algorithm. The zero-order Sugeno fuzzy inference model is utilized to predict the Felder and Silverman learning styles in two of the learning style dimensions: perception (sensory-intuitive) and understanding (sequential-global). This work is motivated by the changing nature of both education and learners and the need to provided personalized tutoring on demand. The model is incorporated into an existing CITS and evaluated using undergraduate University students. The experimental results have shown strong predictive accuracy when compared with existing approaches to delivery of personalized tutorials and have received good student feedback.","1098-7584","978-1-4799-0022-0978-1-4799-0020","10.1109/FUZZ-IEEE.2013.6622382","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6622382","fuzzy expert system;knowledge based systems;conversational agent;intelligent tutoring systems","Tutorials;Predictive models;Knowledge based systems;Educational institutions;Materials;Genetic algorithms","fuzzy reasoning;genetic algorithms;intelligent tutoring systems;learning (artificial intelligence)","fuzzy model;behavioral cues;conversational intelligent tutoring system;student learning style prediction;behavior cues;fuzzy rule;membership function;genetic algorithm;zero-order Sugeno fuzzy inference model;Felder learning style prediction;Silverman learning style prediction;learning style dimensions;perception;sensory-intuitive;understanding;sequential-global;education;personalized tutoring on demand;CITS;undergraduate university students;personalized tutorials;student feedback","","9","27","","","","","IEEE","IEEE Conferences"
"Examining the interrelation between Interaction Analysis and Learning Styles in blog-based collaborative learning activities: The case of the G.I.AN.T. toolkit","N. Michailidis; V. Chondrouli; A. Katmada; N. Politopoulos","Computer Science Department, Aristotle University of Thessaloniki, Greece; Computer Science Department, Aristotle University of Thessaloniki, Greece; Computer Science Department, Aristotle University of Thessaloniki, Greece; Computer Science Department, Aristotle University of Thessaloniki, Greece","2015 International Conference on Interactive Mobile Communication Technologies and Learning (IMCL)","","2015","","","106","110","The current paper presents a case study for evaluating an Interaction Analysis toolkit for blogs, called G.I.AN.T. (Graphical Interaction Analysis Tool). The paper focuses on the perspective of the students and investigates the hypothesis that Learning Styles interrelate with Interaction Analysis graphs produced by the G.I.AN.T. toolkit. This paper also provides further evaluation evidence for the G.I.AN.T. toolkit, in terms of general usability, usefulness, and user interface satisfaction. Overall, students were to a large extent satisfied with their blogging experience, rating the automatically generated Interaction Analysis graphs as useful, easy to understand and decode. Moreover, it was concluded that the G.I.AN.T.'s graphs interrelate with the Learning Styles of the users, with visual and global learning style students having a more positive attitude towards the use of G.I.AN.T.","","978-1-4673-8243-4978-1-4673-8242","10.1109/IMCTL.2015.7359565","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7359565","Interaction analysis;learning styles;blogs;G.I.AN.T. toolkit","Blogs;Visualization;Education;Monitoring;Collaborative work;Collaboration;Usability","computer aided instruction;groupware;human computer interaction;user interfaces;Web sites","global learning style;user interface satisfaction;interaction analysis graphs;graphical interaction analysis tool;GIANT toolkit;blog-based collaborative learning activities","","","13","","","","","IEEE","IEEE Conferences"
"Consistent Evolution of Student Models by Automatic Detection of Learning Styles","F. Azevedo Dorca; L. Vieira Lima; M. Aparecida Fernandes; C. Roberto Lopes","NA; NA; NA; NA","IEEE Latin America Transactions","","2012","10","5","2150","2161","One of the most important features of adaptative e-learning systems is the personalisation according to specific requirements of each individual student. In considering learning and how to improve student learning, these systems must know the way in which an individual learns. In this context, we introduce a new approach for consistent evolution of student models by automatic detection of student learning styles. Most of the work in this field presents complex and inefficient approachs. Our approach is based on learning styles combination and dynamic correction of inconsistencies in the student model, taking into account the non-deterministic aspect of the learning process. Promising results were obtained from tests, and some of them are discussed in this paper.","1548-0992","","10.1109/TLA.2012.6362360","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6362360","adaptive educational systems;Automatic detection of learning styles;e-learning;student modeling","Adaptation models;Least squares approximation;Materials;Stochastic processes;Learning systems","computer aided instruction","student models;automatic learning styles detection;adaptative e-learning systems;student learning styles;learning styles combination;dynamic inconsistencies correction","","1","","","","","","IEEE","IEEE Journals"
"Mining Learning Styles for Personalised eLearning","K. Alhasan; L. Chen; F. Chen","NA; NA; NA","2018 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","","2018","","","1175","1180","In the drive to inspecting user behaviour in an adaptive eLearning system, we investigate the eye gaze movement in combination with the emotional state of learners with our experiment using eye tracker and the electroencephalography (EEG) technologies. The gaze behaviour not only indicates the type of learning style but also shows the set of cognitive activities and emotions that can contribute to the learning process. This paper discusses the first set of results of our experiment associated with monitoring the eye gaze behaviour. Six postgraduate students participated in this study. Two key findings were identified by combining many methods including boxplots and ANOVA. First, there was no effect on the complexity level of the visual/verbal learners behaviour. Second, subject's diversity has an effect on visual learner behaviour. Also, the paper describes the implemented experiment approach in our smart lab. And lastly, this paper exposes our analysis and investigation of learning styles in relation to the different courses, and how the eye behaviour is affected accordingly. The results of the EEG data will be analysed and correlated to our findings in the next piece of work.","","978-1-5386-9380-3978-1-5386-9381","10.1109/SmartWorld.2018.00204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8560182","eLearning;learning style;eye tracker;eye gaze","","cognition;computer aided instruction;data mining;electroencephalography;medical signal processing;statistical analysis","visual/verbal learners behaviour;visual learner behaviour;eye behaviour;personalised eLearning;adaptive eLearning system;eye gaze movement;eye tracker;electroencephalography technologies;cognitive activities;emotions;learning process;postgraduate students;user behaviour;learning styles mining;boxplots;ANOVA","","","27","","","","","IEEE","IEEE Conferences"
"Learning styles in foreign language instruction","I. Šimonová","University of Hradec Kralove, Faculty of Informatics and Management, Czech Republic","2011 14th International Conference on Interactive Collaborative Learning","","2011","","","595","601","The paper deals with the teaching and learning process based on the detected student's learning style. The teaching process is built on the needs analysis questionnaire which defines students' individual learning style and summarizes their experience in previous foreign language learning. These results are consequently reflected in the teaching methods and approaches to each student. The paper presents results of students' opinions reflected in proposals of methods and activities which support the efficiency of the teaching process and students' motivation towards learning, and provides other, ICT-supported means towards improving students' knowledge.","","978-1-4577-1747-5978-1-4577-1748-2978-1-4577-1746","10.1109/ICL.2011.6059656","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6059656","e-learning;learning styles;foreign languages;instruction;didactics;tertiary education","Program processors;Educational institutions;Materials;Conferences;Analytical models;Psychology","natural languages;teaching","foreign language instruction;teaching;learning process;student individual learning style;foreign language learning","","","15","","","","","IEEE","IEEE Conferences"
"Curriculum sequencing for an e-learning system based on learning styles","C. -. Pena; J. -. Marzo; J. L. de la Rosa","Girona Univ., Spain; Girona Univ., Spain; Girona Univ., Spain","Information Technology Based Proceedings of the FIfth International Conference onHigher Education and Training, 2004. ITHET 2004.","","2004","","","167","172","This work shows the use of adaptation techniques involved in an e-learning system that considers students' learning styles and students' knowledge states. The mentioned e-learning system is built on a multiagent framework designed to examine opportunities to improve the teaching and to motivate the students to learn what they want in a user-friendly and assisted environment.","","0-7803-8596","10.1109/ITHET.2004.1358157","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1358157","","Electronic learning;Artificial intelligence;Learning systems;Mediation;Heart;Adaptive systems;Intelligent agent;Humans;Computer aided instruction;Multiagent systems","intelligent tutoring systems;multi-agent systems;teaching;human computer interaction","curriculum sequencing;e-learning system;adaptation techniques;student learning styles;student knowledge states;multiagent framework;teaching;user-friendly learning","","5","11","","","","","IEEE","IEEE Conferences"
"On Recommendation of Learning Objects using Felder-Silverman Learning Style Model","S. M. Nafea; F. Siewe; Y. He","School of Management Information System, Arab Academy for Science Technology and Maritime, Egypt and School of Computer Science and Informatics, De Montfort University, Leicester LE1 9BH, United Kingdom.; School of Computer Science and Informatics, De Montfort University, Leicester LE1 9BH, United Kingdom.; School of Computer Science and Informatics, De Montfort University, Leicester LE1 9BH, United Kingdom.","IEEE Access","","2019","PP","99","1","1","The e-learning recommender system in learning institutions is increasingly becoming the preferred mode of delivery, as it enables learning anytime, anywhere. However, delivering personalised course learning objects based on student’s preferences is still a challenge. Current mainstream recommendation algorithms, such as the Collaborative Filtering (CF) and Content-Based Filtering (CBF), deal with only two types of entities, namely users and items with their ratings. However, these methods do not pay attention to student’s preferences, such as learning styles, which are especially important for the accuracy of course learning objects prediction or recommendation. Moreover, several recommendation techniques experience cold-start and rating sparsity problems. To address the challenge of improving the quality of recommender systems, in this paper a novel recommender algorithm for machine learning is proposed, which combines students actual rating with their learning styles to recommend personalised course learning objects (LOs). Various recommendation techniques are considered in an experimental study investigating the best technique to use in predicting student ratings for e-learning recommender systems. We use the Felder-Silverman Learning Styles Model (FSLSM) to represent both the student learning styles and the learning object profiles. The predicted ratings are compared with the actual student ratings to determine the accuracy of the recommendation techniques, using the Mean Absolute Error (MAE) and Root Mean Square Error (RMSE) metrics. This approach has been experimented on 80 students for an online course created in the MOODLE Learning Management System. The results of the experiment show that the best recommendation technique is our proposed hybrid recommendation algorithm that combines the collaborative filtering and the content-based filtering techniques to enhance the accuracy of the predictions, and solves the cold-start and the rating sparsity problems using the FSLSM representations of the student learning styles and the learning object profiles.","2169-3536","","10.1109/ACCESS.2019.2935417","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8798626","Collaborative Filtering (CF);Content-Based Filtering (CBF);E-learning;Felder-Silverman Learning Style Model (FSLSM);Hybrid Filtering (HF);Rating prediction;Recommendation system","","","","","","","CCBY","","","","IEEE","IEEE Early Access Articles"
"Personalised intelligent multi-agent learning system for engineering courses","J. Melesko; E. Kurilovas","Vilnius Gediminas Technical University, Lithuania; Vilnius Gediminas Technical University, Lithuania","2016 IEEE 4th Workshop on Advances in Information, Electronic and Electrical Engineering (AIEEE)","","2016","","","1","6","The paper aims to present a methodology to personalise learning and a model of personalised intelligent multi-agent learning system for engineering courses based on students' learning styles and another personal characteristics and needs. The main technologies used to create the system are Semantic Web, ontologies, recommender system, and intelligent software agents. First of all, the authors performed systematic review on intelligent software agents' application in education. After that, they have analysed students' preferences to certain learning styles according to Felder and Silverman Learning Styles Model which is widely recognised the most suitable for engineering disciplines. This analysis is necessary to further creating personalised learning units / scenarios optimised for particular learners in conformity with their learning styles and other preferences. These learning units should consist of suitable learning components (learning objects, learning activities, and learning environments) optimal for particular students. Scientific methodology to creating optimised learning units for particular learners is based on expert evaluation method and application of intelligent technologies - ontologies, recommender systems, and intelligent software agents. The novel model of personalised intelligent learning system for engineering students based on application of intelligent software agents is presented in more detail. The main success factors of this approach are application of pedagogically sound vocabularies of the learning components used to create personalised learning units, and the experts' collective intelligence.","","978-1-5090-4473-3978-1-5090-4474","10.1109/AIEEE.2016.7821821","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7821821","personalised intelligent multi-agent learning system;engineering;learning styles;learning units;Semantic Web;ontologies;recommender system;intelligent software agents","Electronic learning;Recommender systems;Software agents;Systematics;Learning systems","computer aided instruction;educational courses;multi-agent systems;ontologies (artificial intelligence);recommender systems;semantic Web;software agents","personalised intelligent multiagent learning system for engineering courses;learning personalisation;student learning styles;semantic Web;ontologies;recommender system;intelligent software agents;education;Felder and Silverman learning styles model;learning objects;learning activities;learning environments;optimised learning units;pedagogically sound vocabularies","","3","36","","","","","IEEE","IEEE Conferences"
"An application to index the didactic resources in an adaptive learning system (ALS)","N. Elghouch; Y. Z. Seghroucheni; E. M. En-Naimi; B. E. E. Mohajir; M. A. Achhab","LIST Laboratory, the Faculty of Sciences and Technologies, Tangier, Morocco; The Faculty of Sciences, Tetouan, Morocco; LIST Laboratory, the Faculty of Sciences and Technologies, Tangier, Morocco; The Faculty of Sciences, Tetouan, Morocco; The National School of Applied Sciences, Tetouan, Morocco","2015 5th International Conference on Information & Communication Technology and Accessibility (ICTA)","","2015","","","1","3","In this paper we provide an application to index the didactic resources intended to run in an adaptive learning system, which operates using the Learning styles of Felder-Silverman and according to the recommendations of the differentiated pedagogy, by offering multiple versions of the same learning object. The established application relates on the learning objects designed true to the SCORM standard, which are created by exe eLearning software. The main reason behind the implementation of this application, is to offer the possibility to index the didactic resources, available in the adaptive learning system, with so much information about the learning objects, that usually are not available in the common learning objects' softwares, mainly the learning styles and teaching styles, since the adaptive learning system which we take as a basis, relies a lot on this kind of information, to correct the generated learning paths in case it turned out to be not the leading ones.","","978-1-4673-8749-1978-1-4673-8748","10.1109/ICTA.2015.7426893","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7426893","Adaptive Learning Systems;Didactic;SCORM;eXe elearning;Learning Style;Teaching Style","Learning systems;Adaptive systems;Electronic learning;Software;Indexes;Adaptation models","computer aided instruction","adaptive learning system;ALS;learning styles;differentiated pedagogy;SCORM standard;elearning software","","2","7","","","","","IEEE","IEEE Conferences"
"Smart media-based context-aware recommender systems for learning: A conceptual framework","M. Hassan; M. Hamada","Graduate School of Computer Science and Engineering, University of Aizu, Aizuwakamatsu-city Fukushima Japan; Graduate School of Computer Science and Engineering, University of Aizu, Aizuwakamatsu-city Fukushima Japan","2017 16th International Conference on Information Technology Based Higher Education and Training (ITHET)","","2017","","","1","4","Modern technologies have been greatly employed to support teachers and learners for facilitating teaching and learning processes. Recommender systems (RSs) for technology-enhanced learning (TEL) are among those new technologies that have been researched extensively within the past few years. This is because RSs for TEL are intelligent decision support systems that assist internet users in finding suitable learning objects that might match their preferences on the kinds of materials they could require to enhanced their learning activities. However, most of the existing RSs for learning used traditional techniques (2-dimensional user × item, techniques) to recommend learning objects to users without considering the contexts in which the recommendation should be made. Those contexts could be the geographical locations, the level of education, the time of the day or week, their learning preferences, and so on. This paper proposed a conceptual framework of smart media-based context-aware RSs for learning that could consider the learning preferences of users as a context for making accurate and usable recommendations. The proposed system was designed to run on smart devices for learners to test and know their learning styles and receive learning object recommendations according to their learning preferences. The paper contains the conceptualization of the framework and the details of the design and implementation procedure.","","978-1-5386-3968-9978-1-5386-3967-2978-1-5386-3969","10.1109/ITHET.2017.8067805","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8067805","Recommender systems;learning style index;smart media;learning object;contextualization;content-based filtering","Recommender systems;Indexes;Large scale integration;Education;Smart devices;Media","computer aided instruction;decision support systems;Internet;mobile learning;recommender systems;smart phones;teaching","learning styles;learning preferences;smart media;context-aware recommender systems;learning processes;technology-enhanced learning;TEL;intelligent decision support systems;internet users;learning activities enhancement;context-aware RS;teaching processes","","1","11","","","","","IEEE","IEEE Conferences"
"Learners as users, and users as learners","L. Leung","Senior Lecturer, Institute for Interactive Media & Learning, University of Technology, Sydney. phone: +61 2 9514 1663; fax: +61 2 9514 1666; e-mail: linda.leung@uts.edu.au","2006 7th International Conference on Information Technology Based Higher Education and Training","","2006","","","541","544","This paper explores how users' relationships to technology may impact processes of learning. In e-learning contexts, it is not only students' educational experiences which are being designed, but also their interaction with technology. Students have dual identities, as both learners and users. The paper reviews principles of usability in the discipline of human-computer interaction and its recommendations for facilitating ease-of-use in systems. It compares this with educational literature on learning styles which suggests that 'deep' learning is not necessarily easy. The paper discusses the difficulties which arise in the context of e-learning, when the processes and practices of educational and technological design are conflated. That is, what happens when the user and learner are one and the same, when systems are designed for learning, not just for use? Reviewing and juxtaposing literature from the disciplines of technology and educational design, the paper highlights differences in pedagogy and practice. In turn, it examines how these are manifest in IT students' perceptions of the role of technology in their own education","","1-4244-0405-31-4244-0406","10.1109/ITHET.2006.339810","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4141673","e-learning;usability;users;deep learning;surface learning","Educational technology;Usability;Electronic learning;Paper technology;Navigation;Information technology;Problem-solving;Education;Human computer interaction;Process design","computer aided instruction;human computer interaction","e-learning;student educational experience;human-computer interaction;technology design;educational design;pedagogy;deep learning;surface learning","","1","19","","","","","IEEE","IEEE Conferences"
"A Model of an Online Evaluation System for STEM Education","G. Durovic; M. Holenko Dlab; N. Hoic-Bozic","University of Rijeka, Rijeka, Croatia; Department of Informatics, University of Rijeka, Rijeka, Croatia; Department of Informatics, University of Rijeka, Rijeka, Croatia","2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics (MIPRO)","","2019","","","677","680","To achieve better learning results, students should be motivated for continuous learning. This is particularly important in areas such as STEM, where for the purpose of understanding the new content students have to master the topics that precede them. This paper describes a work in progress with the aim to develop an online evaluation system for STEM education based on the principles of Education Recommender Systems. The structure of the proposed system includes a domain model, student model, activity model, and a recommender. Domain model will represent concepts of subject matter. Student model will be built on data gathered during continuous evaluation together with students' learning styles and foreknowledge about digital tools. Activity model represents items that will be recommended: learning materials, tasks for learning using digital tools, and colleagues that can help in mastering particular subject content together with materials needed for knowledge assessment. The recommender will include original pedagogical rules for generating recommendations. The proposed model should encourage and motivate students for continuous learning and consequently lead to better learning results.","2623-8764","978-953-233-098-4978-1-5386-9296","10.23919/MIPRO.2019.8756675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8756675","formative evaluation;evaluation system;knowledge assessment;STEM;Educational Recommender System","","computer aided instruction;recommender systems;STEM","digital tools;continuous learning;learning results;online evaluation system;STEM Education;STEM education;domain model;student model;activity model;learning materials;subject content;education recommender systems;pedagogical rules","","","22","","","","","IEEE","IEEE Conferences"
